startup_record_id,startup_id,data_entry_date,data_reference_date,startup_name,normalized_startup_name,country,region,city,sector,subsector,business_model,round_stage,founded_year,website,linkedin_url,founder_names,founder_background,deal_source,deal_owner,deal_status,thesis_fit_score,priority_score,arr_usd,mrr_usd,revenue_usd,growth_mom,growth_yoy,gross_margin,burn_rate_usd,runway_months,cash_balance_usd,cac_usd,ltv_usd,ltv_cac_ratio,cac_payback_months,nrr,grr,churn_rate,active_customers,headcount,arr_per_employee,round_amount_usd,valuation_pre_money_usd,valuation_post_money_usd,ownership_target,ownership_actual,investment_amount_usd,entry_multiple,lead_investor,co_investors,last_round_date,next_round_expected_date,notes,source_name,confidence_level,last_updated,burn_multiple,benchmark_match_level,benchmark_match_quality,benchmark_record_ids,bm_valuation_mid,bm_revenue_multiple_mid,bm_growth_rate_mid,valuation_gap,multiple_gap,growth_gap,price_performance_score,valuation_signal,efficiency_score,efficiency_data_quality,relative_attractiveness_score,attractiveness_data_quality
S_0000,startup_000,2026-05-21,2026-02-08,TechFlow_1,techflow1,Argentina,south_cone,Mexico City,healthtech,enterprise,B2B2C,series_a,2015,https://techflow_1.io,https://linkedin.com/company/techflow_1,Maria Garcia,Product,Event,Analyst B,passed,8.584695542010442,36.01364074715191,3995583.816356327,125523.5537249035,3473811.361814057,22.09506764972594,52.21582127836722,40.84738324447905,120270.4091354107,14.6238499469175,300156.4205145331,16668.64284658259,373404.3113996607,5.991862782805201,17.44895669855671,90.47883115377977,77.60944135302513,8.237490084854958,156,71,234867.3083096818,7879585.153481992,83127017.31140849,27035960.28867819,4.600996026278485,13.43723597340292,3320611.835291798,8.662830126774276,500Global,Benchmark,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,0.361210019851632,,no_match,,,,,,,,6.027570726220682,no_benchmark,70.62,high,39.98,high
S_0001,startup_001,2026-05-21,2026-02-08,CloudSync_1,cloudsync1,United States,north_america,Mexico City,edtech,enterprise,B2B2C,series_a,2020,https://cloudsync_1.io,https://linkedin.com/company/cloudsync_1,Maria Garcia,Finance,Pipeline,Analyst C,pipeline,6.049083203690531,8.764274676383854,1471181.963137814,136702.9133381869,2568147.218193814,18.65138027572016,299.4552139204945,78.50791058785481,41296.50006190285,25.70268190423671,522486.4790215236,37535.1036464179,251358.8446691158,3.265615678283403,5.528139154570869,97.75592176619696,93.50454703373669,8.797808651857302,335,22,211383.5891026306,8551702.514019996,14235869.78554418,146663571.3512087,11.29972082367982,1.55212595469877,2114341.297442999,8.883749872917939,Sequoia,Accel,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,0.3368434450391725,,no_match,,,,,,,,33.708199600866976,no_benchmark,91.68,high,79.39,high
S_0002,startup_002,2026-05-21,2026-02-08,DataVault_1,datavault1,Colombia,andean,São Paulo,saas,smb,B2B2C,seed,2016,https://datavault_1.io,https://linkedin.com/company/datavault_1,John Smith,Finance,Event,Analyst C,passed,8.724839513225152,93.69578230310628,4900051.943500665,379939.7329465639,1533500.276716689,4.772843577284876,219.2053247143489,80.35777686824413,69655.11631810278,35.05611995099677,1086526.68448239,40429.92012482741,246758.6230236976,2.738963914983923,22.70912545293574,119.8294684911635,79.7596489063291,1.536555928101931,30,66,88943.31514504255,2227267.701954718,93604054.47711208,128290943.6266547,12.54013844314164,9.848440535994785,4980403.295034572,13.16142002243694,Y Combinator,Accel,2025-11-07,2026-09-25,Strong team,Internal Pipeline,medium,2026-05-21,0.1705821500373897,7.0,low,"BM_S1_0020,BM_S1_0001",19800000.0,,,108490943.6266547,,,16.655142404137127,no_benchmark,67.08,high,86.77,high
S_0003,startup_003,2026-05-21,2026-02-08,PayWave_1,paywave1,United States,north_america,Buenos Aires,edtech,smb,B2B,seed,2019,https://paywave_1.io,https://linkedin.com/company/paywave_1,John Smith,Product,Pipeline,Analyst A,in_review,3.841463387594259,55.38022407123763,3013389.132285247,225420.1813828195,1071095.43809177,22.75642606757436,257.1173248622792,46.01036145602881,171730.8893158874,24.10911601678125,1254730.09788174,42972.15191485784,420732.9063300823,2.7001109727579,6.804848860051739,137.918163417824,114.0619405895331,7.228454977357703,387,18,186761.3364038944,4588292.057535904,75390908.43559897,75753288.1875471,4.960253396917878,13.60478277657366,2660825.818678495,12.98329850025663,500Global,,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.683871409009773,,no_match,,,,,,,,19.80369817864058,no_benchmark,75.1,high,81.03,high
S_0004,startup_004,2026-05-21,2026-02-08,LogistiX_1,logistix1,United States,north_america,Mexico City,edtech,enterprise,B2B2C,series_a,2015,https://logistix_1.io,https://linkedin.com/company/logistix_1,John Smith,Finance,Network,Analyst A,in_review,6.811423685725947,30.55243106580236,2916289.06445416,388578.5679206354,175614.8792665068,3.528208420182822,123.6548490865483,53.2791416479303,45379.78279611677,8.309384011948989,566169.3969158011,49882.60072140675,187087.8517429213,3.723699535613361,16.07782146803666,83.02500641613256,82.5298561296754,2.259886390495866,119,53,71861.62544997135,2072247.859304728,94192104.88590328,91280322.55723642,4.251757048222586,2.531241575973443,2686485.22785326,7.842239909282535,Y Combinator,Tiger Global,2025-11-07,2026-09-25,Good product-market fit,Internal Pipeline,medium,2026-05-21,0.1867295667603258,,no_match,,,,,,,,15.767797276921248,no_benchmark,47.72,high,43.5,high
S_0005,startup_005,2026-05-21,2026-02-08,HealthAI_1,healthai1,Mexico,mexico_ca,Bogotá,fintech,consumer,B2B,series_a,2021,https://healthai_1.io,https://linkedin.com/company/healthai_1,Sofia González,Finance,Pipeline,Analyst B,passed,3.040310623486851,39.69815170742834,3742885.165353365,33617.71262462824,1526692.542191212,14.28125186859857,53.57881941676499,40.87761816833144,18875.8656088194,8.267508415622009,209691.1025277227,12454.07602021496,431299.3906577064,4.294724528568841,7.676197661584784,133.423059251316,73.51391831707203,4.742367112165699,386,39,144340.7941991627,7212739.225445068,67985106.12169814,35634635.92683002,4.74618579344831,14.52490440148883,3046333.043348024,6.9995983184463,Y Combinator,Benchmark,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.0605175893192138,7.0,low,"BM_S1_0026,BM_S1_0009",32000000.0,,,3634635.9268300235,,,7.654556301547583,no_benchmark,61.06,high,52.57,high
S_0006,startup_006,2026-05-21,2026-02-08,EduProto_1,eduproto1,Colombia,andean,Buenos Aires,fintech,,B2C,series_a,2015,https://eduproto_1.io,https://linkedin.com/company/eduproto_1,John Smith,Tech,Event,Analyst C,in_review,5.272100809301892,44.72025405048357,4060731.242569786,244298.0256430188,3269282.324751102,5.269153847249527,234.4673796403825,54.66543053902824,18456.48055949918,34.54269662536698,842962.4513420574,2497.365929555135,209334.3524663445,6.901169611857944,9.451544757446689,114.6128720786725,103.1419682690341,5.937295735492196,486,75,153379.1325724898,5585803.796585739,36976989.26794327,82480486.41797854,13.52553074278202,6.793250406232676,4625402.014034361,8.90313628846955,Andreessen,Benchmark,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.0545413506789556,7.0,low,"BM_S1_0026,BM_S1_0009",32000000.0,,,50480486.41797854,,,26.335369025411993,no_benchmark,81.71,high,90.48,high
S_0007,startup_007,2026-05-21,2026-02-08,GreenTech_1,greentech1,Colombia,andean,San Francisco,fintech,enterprise,B2B2C,series_b,2018,https://greentech_1.io,https://linkedin.com/company/greentech_1,John Smith,Tech,Event,Analyst B,in_review,5.565230744099785,60.05943333606173,3285828.250584198,17773.18649145803,4692141.044057929,2.269252046810793,258.5361492501689,78.65709369593358,188452.981498106,14.91872370922001,544986.4047600349,20853.980140732,170834.2217823863,2.279292107572629,14.47562937629061,113.8351740053374,105.7137839631641,4.624655362721477,288,71,59952.85986143845,6535571.79372905,93879936.07994752,104855579.7019784,9.338271141076271,14.18572662661537,4103681.449368876,9.873270116845308,Andreessen,Benchmark,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,0.6882391913135459,7.0,low,"BM_S1_0027,BM_S1_0010",84000000.0,,,20855579.7019784,,,26.185462991543872,no_benchmark,51.64,high,76.29,high
S_0008,startup_008,2026-05-21,2026-02-08,MarketHub_1,markethub1,Colombia,andean,São Paulo,edtech,consumer,B2B,seed,2023,https://markethub_1.io,https://linkedin.com/company/markethub_1,John Smith,Product,Event,Analyst C,in_review,5.773208841264788,51.56794276964978,649197.7743673382,32263.94852422191,4357310.36649263,11.7067879829357,235.1190329883798,65.89802638562895,103849.4854025578,8.762009582474263,517152.4541366237,6938.993156532874,232455.0564878525,6.277018008066812,11.76106178985611,110.0167121124656,122.3147836768303,5.676505082227068,391,44,118497.024867493,2366626.186084006,28281110.85460867,78244720.20121515,8.60713195209003,10.15230065445071,2530085.314090286,5.860046527535964,500Global,,2025-11-07,2026-09-25,,Internal Pipeline,medium,2026-05-21,1.919590414562257,,no_match,,,,,,,,40.12238330934256,no_benchmark,57.19,high,74.62,high
S_0009,startup_009,2026-05-21,2026-02-08,FinanceAI_1,financeai1,United States,north_america,San Francisco,logtech,,B2B,series_b,2015,https://financeai_1.io,https://linkedin.com/company/financeai_1,John Smith,Tech,Network,Analyst A,in_review,7.868270446829035,91.93919732144174,1697954.854912547,453312.2892188611,3832663.23491116,8.785936276045593,85.71257182520965,57.40477965841441,84835.35400431858,23.97133761451145,1923739.325155565,1610.081513521729,383599.0097506855,4.954456942230484,6.364737620506633,84.163645154251,104.6188967450609,9.968736779187571,79,59,288912.3668166223,2511585.689497985,33885079.68411152,148562205.2465713,4.280541829228252,4.523803048103273,3734146.696877582,12.52746101658709,Y Combinator,Benchmark,2025-11-07,2026-09-25,High burn rate,Internal Pipeline,medium,2026-05-21,0.5995590784445539,6.0,low,BM_S1_0032,40000020.0,,,108562185.2465713,,,6.841974739472045,no_benchmark,86.88,high,50.55,high
